record.id,word.id,morpheme.id,speaker,translation,word,gloss,ps,lg,morpheme.type
1,1,1,A,hyena sits and watches the house,gǁain,brown.hyena,n,N,stem
1,2,2,A,hyena sits and watches the house,tcuinya,sit.down,vitr,N,stem
1,2,3,A,hyena sits and watches the house,tcuinya,?,vsf,N,suffix
1,3,4,A,hyena sits and watches the house,a,2SG,pro,N,stem
1,4,5,A,hyena sits and watches the house,nǀaa,see,vatr,N,stem
1,5,6,A,hyena sits and watches the house,nǁang,house,n,N,stem
2,6,7,A,"I take the cream, I bring (it) toe ...",ng,1SG,pro,N,stem
2,7,8,A,"I take the cream, I bring (it) toe ...",ǀai,take,vtr,N,stem
2,8,9,A,"I take the cream, I bring (it) toe ...",ng,OBL,part,N,stem
2,9,10,A,"I take the cream, I bring (it) toe ...",roomsi,cream,n,A,stem
2,9,11,A,"I take the cream, I bring (it) toe ...",roomsi,LOAN,nsf,N,suffix
2,10,12,A,"I take the cream, I bring (it) toe ...",ng,1SG,pro,N,stem
2,11,13,A,"I take the cream, I bring (it) toe ...",ǁʼaaʼa,?take.away,vtr,N,stem
3,12,14,A,to the station,ng,OBL,part,N,stem
3,13,15,A,to the station,stasie,station,n,A,stem
4,14,16,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",a,CONN,part,N,stem
4,15,17,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",nau,1SG.?,pro,N,stem
4,15,18,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",nau,UP,nsf,N,suffix
4,16,19,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",hooke,come.from,vitr,K,stem
4,16,20,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",hooke,?,vsf,N,suffix
4,17,21,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",ng,OBL,part,N,stem
4,18,22,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",ki,place,n,N,stem
4,19,23,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'","a,",this,dei,N,stem
4,20,24,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",ng,1SG,pro,N,stem
4,21,25,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",si,IRR,part,N,stem
4,22,26,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",moo,meet,vtr,K,stem
4,23,27,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",au,2SG,pro,N,stem
4,23,28,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",au,UP,nsf,N,suffix
4,24,29,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",xa,PST,part,N,stem
4,25,30,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",ǃʼoasi,look.after,vtr,K,stem
4,26,31,A,"possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",nǁang,house,n,N,stem
5,27,32,A,then he climbs on the dune,ha,3H.SG,pro,N,stem
5,28,33,A,then he climbs on the dune,nǁae,then,adv,N,stem
5,29,34,A,then he climbs on the dune,ǁain,climb,vtr,N,stem
5,30,35,A,then he climbs on the dune,nǃoon,dune,n,N,stem
6,31,36,A,"hyena comes to ǃUbuka?, he comes and says to him",gǁain,brown.hyena,n,N,stem
6,32,37,A,"hyena comes to ǃUbuka?, he comes and says to him",see,come,vatr,N,stem
6,33,38,A,"hyena comes to ǃUbuka?, he comes and says to him",ng,OBL,part,N,stem
6,34,39,A,"hyena comes to ǃUbuka?, he comes and says to him","ǃUbuka,",ǃUbuka,n,N,stem
6,35,40,A,"hyena comes to ǃUbuka?, he comes and says to him",ha,3H.SG,pro,N,stem
6,36,41,A,"hyena comes to ǃUbuka?, he comes and says to him","see,",come,vatr,N,stem
6,37,42,A,"hyena comes to ǃUbuka?, he comes and says to him",ha,3H.SG,pro,N,stem
6,38,43,A,"hyena comes to ǃUbuka?, he comes and says to him",ku,QUOT,vtr,N,stem
6,39,44,A,"hyena comes to ǃUbuka?, he comes and says to him",nǁaa,OBL.3SG.STR,pro,N,stem
7,40,45,A,"""stand here, I go and send for hyena, he shall come and fetch you""","""ǃʼaa",stand,vitr,N,stem
7,41,46,A,"""stand here, I go and send for hyena, he shall come and fetch you""",naa,go,vatr,N,stem
7,42,47,A,"""stand here, I go and send for hyena, he shall come and fetch you""","ki,",place,n,N,stem
7,43,48,A,"""stand here, I go and send for hyena, he shall come and fetch you""",ng,1SG,pro,N,stem
7,44,49,A,"""stand here, I go and send for hyena, he shall come and fetch you""",ǁʼaa,go.away,vatr,N,stem
7,45,50,A,"""stand here, I go and send for hyena, he shall come and fetch you""",ng,and,part,N,stem
7,46,51,A,"""stand here, I go and send for hyena, he shall come and fetch you""",ǀae,send,vtr,N,stem
7,47,52,A,"""stand here, I go and send for hyena, he shall come and fetch you""","gǁain,",brown.hyena,n,N,stem
7,48,53,A,"""stand here, I go and send for hyena, he shall come and fetch you""",ha,3H.SG,pro,N,stem
7,49,54,A,"""stand here, I go and send for hyena, he shall come and fetch you""",si,IRR,part,N,stem
7,50,55,A,"""stand here, I go and send for hyena, he shall come and fetch you""",ng,?,part,N,stem
7,51,56,A,"""stand here, I go and send for hyena, he shall come and fetch you""",tsee,come,vatr,N,stem
7,52,57,A,"""stand here, I go and send for hyena, he shall come and fetch you""",ng,and,part,N,stem
7,53,58,A,"""stand here, I go and send for hyena, he shall come and fetch you""",ǀai,take,vtr,N,stem
7,54,59,A,"""stand here, I go and send for hyena, he shall come and fetch you""",ng,OBL,part,N,stem
7,55,60,A,"""stand here, I go and send for hyena, he shall come and fetch you""","gǀa""",2SG.OBL,pro,N,stem
8,56,61,A,"wolf het (net) gekom, toe kom gaan hy in die huis in?",gǁainya,brown.hyena,n,N,stem
8,56,62,A,"wolf het (net) gekom, toe kom gaan hy in die huis in?",gǁainya,?,nsf,N,suffix
8,57,63,A,"wolf het (net) gekom, toe kom gaan hy in die huis in?",nǁae,then,adv,N,stem
8,58,64,A,"wolf het (net) gekom, toe kom gaan hy in die huis in?","ǁʼae,",go.away,vatr,N,stem
8,59,65,A,"wolf het (net) gekom, toe kom gaan hy in die huis in?",gǁain,brown.hyena,n,N,stem
8,60,66,A,"wolf het (net) gekom, toe kom gaan hy in die huis in?",nǁang,house,n,N,stem
8,61,67,A,"wolf het (net) gekom, toe kom gaan hy in die huis in?",ǀʼee,go.in,vatr,N,stem
9,62,68,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",ha,3H.SG,pro,N,stem
9,63,69,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",ǁʼae,go.to,vatr,N,stem
9,64,70,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""","gǁain,",brown.hyena,n,N,stem
9,65,71,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",ha,3H.SG,pro,N,stem
9,66,72,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",ku,QUOT,vtr,N,stem
9,67,73,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",ng,OBL,part,N,stem
9,68,74,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",gǁain,brown.hyena,n,N,stem
9,69,75,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""","""gǀa",2SG.STR,pro,N,stem
9,70,76,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",ǁxae,know,vitr,N,stem
9,71,77,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",ng,1SG,pro,N,stem
9,72,78,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",xa,PST,part,N,stem
9,73,79,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",maa,get,vtr,K,stem
9,74,80,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""","ǀoba,",child,n,N,stem
9,75,81,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",ng,1SG,pro,N,stem
9,76,82,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",ǀaeki,woman,n,N,stem
9,76,83,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",ǀaeki,?,nsf,N,suffix
9,77,84,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",xa,PST,part,N,stem
9,78,85,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",maa,get,vtr,K,stem
9,79,86,A,"he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",ǀoba,child,n,N,stem
10,80,87,A,where did you put down (your) head? (= where did you lie?!),ng,OBL,part,N,stem
10,81,88,A,where did you put down (your) head? (= where did you lie?!),kidye,where,adv,N,stem
10,82,89,A,where did you put down (your) head? (= where did you lie?!),a,2SG,pro,N,stem
10,83,90,A,where did you put down (your) head? (= where did you lie?!),xa,PST,part,N,stem
10,84,91,A,where did you put down (your) head? (= where did you lie?!),ǃoo,put.on,vtr,N,stem
10,85,92,A,where did you put down (your) head? (= where did you lie?!),nǀaa,head,n,N,stem
11,86,93,A,"but his name, his name is '?first hoep'","hm,",hm,interj,N,stem
11,87,94,A,"but his name, his name is '?first hoep'",maar,but,part,A,stem
11,88,95,A,"but his name, his name is '?first hoep'",ha,3H.SG,pro,N,stem
11,89,96,A,"but his name, his name is '?first hoep'","ǀeen,",name,n,N,stem
11,90,97,A,"but his name, his name is '?first hoep'",ha,3H.SG,pro,N,stem
11,91,98,A,"but his name, his name is '?first hoep'",ǀeen,name,n,N,stem
11,92,99,A,"but his name, his name is '?first hoep'",ng,COP,part,N,stem
11,93,100,A,"but his name, his name is '?first hoep'",tsipi,iron,n,T,stem
11,94,101,A,"but his name, his name is '?first hoep'",ǂoqna,?first.hoep,n,N,stem
12,95,102,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""","hm,",hm,interj,N,stem
12,96,103,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",a,CONN,part,N,stem
12,97,104,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",ha,3H.SG,pro,N,stem
12,98,105,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",ǃuun,go,vitr,K,stem
12,99,106,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",ng,and,part,N,stem
12,100,107,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""","ǁʼaa,",go.away,vatr,N,stem
12,101,108,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",ha,3H.SG,pro,N,stem
12,102,109,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",ku,QUOT,vtr,N,stem
12,103,110,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",ng,OBL,part,N,stem
12,104,111,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",gǁain,brown.hyena,n,N,stem
12,105,112,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""","""ǁhaa",first,part,N,stem
12,106,113,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",a,2SG,pro,N,stem
12,107,114,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""","tcuinya,",sit.down,vitr,N,stem
12,107,115,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""","tcuinya,",IMP.SG,vsf,N,suffix
12,108,116,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",ng,1SG,pro,N,stem
12,109,117,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",si,IRR,part,N,stem
12,110,118,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""",ǃxae,now,adv,N,stem
12,111,119,A,"then he goes (?away), he (J) says to hyena ""sit first down, I will come (right) now""","see""",come,vatr,N,stem
13,112,120,A,"hyena comes and sits relaxed, he sleeps",a,CONN,part,N,stem
13,113,121,A,"hyena comes and sits relaxed, he sleeps",gǁain,brown.hyena,n,N,stem
13,114,122,A,"hyena comes and sits relaxed, he sleeps",tsee,come,vatr,N,stem
13,115,123,A,"hyena comes and sits relaxed, he sleeps",ng,and,part,N,stem
13,116,124,A,"hyena comes and sits relaxed, he sleeps",ǂxain,relaxed,vitr,N,stem
13,117,125,A,"hyena comes and sits relaxed, he sleeps","suin,",sit.down,vitr,N,stem
13,118,126,A,"hyena comes and sits relaxed, he sleeps",ha,3H.SG,pro,N,stem
13,119,127,A,"hyena comes and sits relaxed, he sleeps",ʘunn,sleep,vitr,N,stem
14,120,128,A,"he (J) goes away, he goes and takes the cream",a,CONN,part,N,stem
14,121,129,A,"he (J) goes away, he goes and takes the cream",ha,3H.SG,pro,N,stem
14,122,130,A,"he (J) goes away, he goes and takes the cream","ǁʼaa,",go.away,vatr,N,stem
14,123,131,A,"he (J) goes away, he goes and takes the cream",ha,3H.SG,pro,N,stem
14,124,132,A,"he (J) goes away, he goes and takes the cream",ǁʼaa,go.away,vatr,N,stem
14,125,133,A,"he (J) goes away, he goes and takes the cream",ng,and,part,N,stem
14,126,134,A,"he (J) goes away, he goes and takes the cream",ǀai,take,vtr,N,stem
14,127,135,A,"he (J) goes away, he goes and takes the cream",ng,OBL,part,N,stem
14,128,136,A,"he (J) goes away, he goes and takes the cream",ǁhaing,milk,n,N,stem
14,128,137,A,"he (J) goes away, he goes and takes the cream",ǁhaing,PL,nsf,N,suffix
14,129,138,A,"he (J) goes away, he goes and takes the cream",ng,this.PL,dei,N,stem
15,130,139,A,"the cream, he (J) drinks (it)","roomsi,",cream,n,A,stem
15,130,140,A,"the cream, he (J) drinks (it)","roomsi,",LOAN,nsf,N,suffix
15,131,141,A,"the cream, he (J) drinks (it)",a,CONN,part,N,stem
15,132,142,A,"the cream, he (J) drinks (it)",ha,3H.SG,pro,N,stem
15,133,143,A,"the cream, he (J) drinks (it)",kxʼaan,drink,vtr,N,stem
16,134,144,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",a,CONN,part,N,stem
16,135,145,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",ha,3H.SG,pro,N,stem
16,136,146,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",sumu,finish,vtr,N,stem
16,137,147,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",xa,PST,part,N,stem
16,138,148,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps","kxʼaan,",drink,vtr,N,stem
16,139,149,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",ha,3H.SG,pro,N,stem
16,140,150,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",sii,come,vatr,N,stem
16,141,151,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",ng,and,part,N,stem
16,142,152,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",ǃhoo,wake,vitr,N,stem
16,143,153,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",uu,take.up,vtr,K,stem
16,144,154,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps","gǁain,",brown.hyena,n,N,stem
16,145,155,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",gǁainya,brown.hyena,n,N,stem
16,145,156,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",gǁainya,?,nsf,N,suffix
16,146,157,A,"when he has finished to drink, he comes wakes up hyena, hyena sleeps",ʘunn,sleep,vitr,N,stem
17,147,158,A,"he (J) says ""hyena, get up!",ha,3H.SG,pro,N,stem
17,148,159,A,"he (J) says ""hyena, get up!",ku,QUOT,vtr,N,stem
17,149,160,A,"he (J) says ""hyena, get up!","""gǁain,",brown.hyena,n,N,stem
17,150,161,A,"he (J) says ""hyena, get up!",khui-nǁnga,stand.up,vitr,N,stem
17,150,162,A,"he (J) says ""hyena, get up!",khui-nǁnga,IMP.SG,vsf,N,suffix
18,151,163,A,do you know (that you) drank the Boer's cream?,ǁxae,know,vitr,N,stem
18,152,164,A,do you know (that you) drank the Boer's cream?,xa,PST,part,N,stem
18,153,165,A,do you know (that you) drank the Boer's cream?,kxʼaan,drink,vtr,N,stem
18,154,166,A,do you know (that you) drank the Boer's cream?,ng,OBL,part,N,stem
18,155,167,A,do you know (that you) drank the Boer's cream?,ǀʼhuun,white.person,n,N,stem
18,156,168,A,do you know (that you) drank the Boer's cream?,ǃqxʼabesi,cream,n,N,stem
18,156,169,A,do you know (that you) drank the Boer's cream?,ǃqxʼabesi,SGLT,nsf,N,suffix
19,157,170,A,"hyena says "" I didn't go to this place (where the cream was), he (J) says ""yes, you went there, because I come from my wife",gǁainya,brown.hyena,n,N,stem
19,157,171,A,"hyena says "" I didn't go to this place (where the cream was), he (J) says ""yes, you went there, because I come from my wife",gǁainya,?,nsf,N,suffix
19,158,172,A,"hyena says "" I didn't go to this place (where the cream was), he (J) says ""yes, you went there, because I come from my wife",ku,QUOT,vtr,N,stem
